# Numerical radiation field:  solar
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
71.35731 1.77042e+03
71.36179 2.31179e+03
71.36627 2.72432e+03
71.37075 4.03543e+03
71.37523 5.12761e+03
71.37971 5.42899e+03
71.38419 4.74338e+03
71.38867 3.50100e+03
71.39315 2.47952e+03
71.39763 1.95886e+03
71.40211 1.76385e+03
71.40659 1.69829e+03
71.41107 1.71931e+03
71.41555 1.56624e+03
71.42003 1.64960e+03
71.42451 1.80284e+03
71.42899 1.63688e+03
71.43347 1.64232e+03
71.43795 1.54551e+03
71.44243 1.58128e+03
71.44691 1.53854e+03
71.45139 1.58223e+03
71.45587 1.61372e+03
71.46035 1.64258e+03
71.46483 1.75642e+03
71.46931 1.73350e+03
71.47379 1.90859e+03
71.47827 1.87570e+03
71.48275 1.72906e+03
71.48723 1.76922e+03
71.49171 1.85306e+03
71.49620 1.81485e+03
71.50068 1.80491e+03
71.50516 1.67611e+03
71.50964 1.70444e+03
71.51412 1.72030e+03
71.51860 1.68664e+03
71.52308 1.71146e+03
71.52756 1.68991e+03
71.53204 1.68276e+03
71.53652 1.62303e+03
71.54100 1.74785e+03
71.54548 1.71000e+03
71.54996 1.90908e+03
71.55444 2.12501e+03
71.55892 2.03774e+03
71.56340 2.05764e+03
71.56788 2.03052e+03
71.57236 1.94072e+03
71.57684 1.76341e+03
71.58132 1.67153e+03
71.58580 1.68416e+03
71.59028 1.62348e+03
71.59476 1.56392e+03
71.59924 1.60658e+03
71.60172 1.78015e+03
71.60620 1.68198e+03
71.61068 1.59471e+03
71.61517 1.70320e+03
71.61965 1.75026e+03
71.62413 1.63836e+03
71.62861 1.64707e+03
71.63309 1.65274e+03
71.63757 1.62203e+03
71.64205 1.83355e+03
71.64653 1.73886e+03
71.65101 1.79967e+03
71.65549 1.85608e+03
71.65997 1.77947e+03
71.66445 1.75418e+03
71.66893 1.69658e+03
71.67341 1.62240e+03
71.67789 1.68780e+03
71.68237 1.68829e+03
71.68685 1.76701e+03
71.69133 1.69281e+03
71.69581 1.89212e+03
71.70030 2.09614e+03
71.70478 2.01040e+03
71.70926 1.95879e+03
71.71374 1.73757e+03
71.71822 1.75672e+03
71.72270 1.76880e+03
71.72718 1.73025e+03
71.73166 1.65266e+03
71.73614 1.76357e+03
71.74062 1.75497e+03
71.74510 1.76920e+03
71.74958 1.88531e+03
71.75406 1.93395e+03
71.75854 2.02159e+03
71.76303 1.89087e+03
71.76751 1.88405e+03
71.77199 1.82621e+03
71.77647 1.75889e+03
71.78095 1.63759e+03
71.78543 1.84513e+03
71.78991 1.81061e+03
71.79439 1.76864e+03
