21  8 6.581E-10 0.6494 1.072E+03 5.292E+07
22  8 6.854E-10 0.6464 1.313E+03 5.733E+07
23  8 7.140E-10 0.6441 1.579E+03 6.195E+07
24  8 6.832E-10 0.6367 2.162E+03 6.770E+07
25  8 7.236E-10 0.6359 2.448E+03 7.264E+07
26  8 7.556E-10 0.6351 2.800E+03 7.742E+07
27  8 7.582E-10 0.6307 3.402E+03 8.406E+07
28  8 7.889E-10 0.6292 3.842E+03 8.956E+07
29  8 8.107E-10 0.6290 4.369E+03 9.503E+07
30  8 8.533E-10 0.6278 4.759E+03 1.011E+08
36  8 1.033E-09 0.6234 8.342E+03 1.417E+08
42  8 1.256E-09 0.6232 1.220E+04 1.882E+08
54  8 1.688E-09 0.6241 2.245E+04 2.986E+08
10  9 1.295E-11 0.3556 6.739E+01 7.563E+06 0.6472 1.598E+05
11  9 5.176E-11 0.4811 7.751E+01 1.351E+07 0.3467 3.140E+05
12  9 1.249E-10 0.5600 7.748E+01 2.015E+07 0.1917 5.139E+05
13  9 2.011E-10 0.5984 1.013E+02 2.635E+07 0.1072 7.591E+05
14  9 2.468E-10 0.6113 1.649E+02 3.231E+07 0.0636 9.837E+05
15  9 2.981E-10 0.6173 2.372E+02 3.807E+07 0.0361 1.306E+06
16  9 3.384E-10 0.6175 3.380E+02 4.347E+07 0.0225 1.672E+06
17  9 4.354E-10 0.6262 3.604E+02 5.251E+07
18  9 4.228E-10 0.6181 5.880E+02 5.535E+07
19  9 4.044E-10 0.6099 9.347E+02 5.922E+07
20  9 3.992E-10 0.6025 1.362E+03 6.373E+07
21  9 4.070E-10 0.5968 1.819E+03 6.864E+07
22  9 4.281E-10 0.5954 2.234E+03 7.270E+07
23  9 4.227E-10 0.5885 3.007E+03 7.863E+07
24  9 4.341E-10 0.5846 3.714E+03 8.452E+07
25  9 4.710E-10 0.5863 4.081E+03 8.874E+07
26  9 4.791E-10 0.5823 4.967E+03 9.535E+07
27  9 5.045E-10 0.5808 5.617E+03 1.015E+08
28  9 5.081E-10 0.5766 6.786E+03 1.088E+08
29  9 5.402E-10 0.5769 7.375E+03 1.150E+08
30  9 5.284E-10 0.5705 9.182E+03 1.239E+08
36  9 6.842E-10 0.5709 1.489E+04 1.680E+08
42  9 8.282E-10 0.5708 2.249E+04 2.193E+08
54  9 1.109E-09 0.5712 4.285E+04 3.443E+08
11 10 5.095E-12 0.0000 3.546E+02 2.310E+06 0.9395 4.297E+05
12 10 1.345E-11 0.1074 7.877E+02 7.925E+07 0.4631 5.027E+05
13 10 3.107E-11 0.2854 8.207E+02 8.117E+07 0.2631 7.693E+05
14 10 5.134E-11 0.3678 1.009E+03 8.514E+07 0.1646 1.084E+06
15 10 7.550E-11 0.4244 1.206E+03 8.603E+07 0.1008 1.498E+06
16 10 9.565E-11 0.4517 1.599E+03 9.252E+07 0.0612 1.986E+06
17 10 1.144E-10 0.4665 2.108E+03 9.895E+07 0.0362 2.397E+06
18 10 1.313E-10 0.4722 2.767E+03 1.066E+08 0.0208 2.725E+06
19 10 1.590E-10 0.4867 3.096E+03 1.192E+08
20 10 1.622E-10 0.4804 4.449E+03 1.204E+08
21 10 1.647E-10 0.4734 6.182E+03 1.253E+08
22 10 1.730E-10 0.4687 7.898E+03 1.302E+08
23 10 1.800E-10 0.4650 9.950E+03 1.357E+08
24 10 1.868E-10 0.4603 1.233E+04 1.432E+08
25 10 1.924E-10 0.4562 1.514E+04 1.509E+08
26 10 2.034E-10 0.4548 1.751E+04 1.579E+08
27 10 2.125E-10 0.4518 2.042E+04 1.667E+08
28 10 2.208E-10 0.4504 2.355E+04 1.749E+08
29 10 2.271E-10 0.4464 2.753E+04 1.853E+08
30 10 2.397E-10 0.4458 3.040E+04 1.941E+08
36 10 3.051E-10 0.4446 5.297E+04 2.530E+08
42 10 3.541E-10 0.4350 8.882E+04 3.334E+08
54 10 4.923E-10 0.4400 1.645E+05 5.012E+08
12 11 5.452E-11 0.6845 5.637E+00 1.551E+06 0.3945 8.360E+05
13 11 3.171E-11 0.4493 1.821E+02 3.529E+07 0.2642 7.190E+05
14 11 6.739E-11 0.4931 2.166E+02 4.491E+07 0.1667 9.046E+05
15 11 1.128E-10 0.5330 2.618E+02 4.963E+07 0.0994 1.244E+06
16 11 1.588E-10 0.5584 3.350E+02 5.188E+07 0.0591 1.656E+06
17 11 1.790E-10 0.5641 5.390E+02 5.733E+07 0.0340 2.038E+06
18 11 2.156E-10 0.5708 7.027E+02 6.146E+07 0.0169 2.845E+06
19 11 2.516E-10 0.5771 8.854E+02 6.829E+07
20 11 2.527E-10 0.5711 1.364E+03 6.926E+07
21 11 2.578E-10 0.5655 1.955E+03 7.157E+07
22 11 2.711E-10 0.5628 2.552E+03 7.416E+07
23 11 2.792E-10 0.5588 3.360E+03 7.736E+07
24 11 3.003E-10 0.5585 3.987E+03 8.062E+07
25 11 3.197E-10 0.5582 4.712E+03 8.394E+07
26 11 3.133E-10 0.5507 6.295E+03 9.035E+07
27 11 3.340E-10 0.5516 7.145E+03 9.384E+07
28 11 3.626E-10 0.5536 7.769E+03 9.785E+07
29 11 3.761E-10 0.5509 9.021E+03 1.036E+08
30 11 3.885E-10 0.5492 1.041E+04 1.095E+08
36 11 4.936E-10 0.5469 1.900E+04 1.455E+08
42 11 6.295E-10 0.5525 2.751E+04 1.846E+08
54 11 8.258E-10 0.5485 5.795E+04 2.911E+08
